Character,Points,Rank,Episode
Daenerys Targaryen,424.0,1.0,4
Jon Snow,256.0,2.0,4
Jorah Mormont,256.0,2.0,4
Missandei,248.0,4.0,4
Myranda,224.0,5.0,4
Brienne of Tarth,208.0,6.0,4
Tormund Giantsbane,136.0,7.0,4
Samwell Tarly,128.0,8.0,4
Sansa Stark,120.0,9.0,4
Davos Seaworth,112.0,10.0,4
Tyrion Lannister,112.0,10.0,4
Ramsay Bolton,104.0,12.0,4
Theon Greyjoy,96.0,13.0,4
Stannis Baratheon,88.0,14.0,4
Roose Bolton,72.0,15.0,4
Hizdahr zo Loraq,64.0,16.0,4
Grey Worm,32.0,17.0,4
Daario Naharis,32.0,17.0,4
Melisandre,16.0,19.0,4
The High Sparrow,16.0,19.0,4
Walda Bolton,8.0,21.0,4
Shireen Baratheon,8.0,21.0,4
Barristan Selmy,0.0,23.0,4
Eddison Tollett,0.0,23.0,4
Lancel Lannister,0.0,23.0,4
Selyse Baratheon,0.0,23.0,4
Septa Unella,0.0,23.0,4
Bowen Marsh,0.0,23.0,4
Ternesio Terys,0.0,23.0,4
Mace Tyrell,0.0,23.0,4
Lhara,0.0,23.0,4
Jaime Lannister,0.0,23.0,4
Tommen Baratheon,0.0,23.0,4
Yohn Royce,0.0,23.0,4
Janos Slynt,0.0,23.0,4
Malko,0.0,23.0,4
White Walkers Master,0.0,23.0,4
Keyr,0.0,23.0,4
Podrick Payne,0.0,23.0,4
Meryn Trant,0.0,23.0,4
Denys Mallister,0.0,23.0,4
Maggy the Frog,0.0,23.0,4
Loboda,0.0,23.0,4
Pit Announcer,0.0,23.0,4
Petyr Baelish,0.0,23.0,4
Gilly,0.0,23.0,4
Olly,0.0,23.0,4
Margaery Tyrell,0.0,23.0,4
Mance Rayder,0.0,23.0,4
Lord of Bones,0.0,23.0,4
Myrcella Baratheon,0.0,23.0,4
Nymeria Sand,0.0,23.0,4
Jaqen Hghar,0.0,23.0,4
Arya Stark,0.0,23.0,4
Olenna Tyrell,0.0,23.0,4
Areo Hotah,0.0,23.0,4
Pycelle,0.0,23.0,4
Kevan Lannister,0.0,23.0,4
Gregor Clegane,0.0,23.0,4
Ser Bronn,0.0,23.0,4
Tycho Nestoris,0.0,23.0,4
Cersei Lannister,0.0,23.0,4
Ellaria Sand,0.0,23.0,4
Robin Arryn,0.0,23.0,4
Trystane Martell,0.0,23.0,4
Tyene Sand,0.0,23.0,4
Alliser Thorne,0.0,23.0,4
Varys,0.0,23.0,4
Loras Tyrell,0.0,23.0,4
Doran Martell,0.0,23.0,4
Obara Sand,0.0,23.0,4
Yezzan,0.0,23.0,4
Qyburn,0.0,23.0,4
